team,season,games,def_epa_per_play_allowed,def_epa_per_pass_allowed,def_epa_per_rush_allowed,def_ypa_allowed,def_ypc_allowed,def_pass_yds_pg_allowed,def_rush_yds_pg_allowed,def_plays_pg_faced,def_pace_sec_allowed,def_rz_td_rate_allowed,def_rush_td_pg_allowed,def_pass_td_pg_allowed,def_pressure_rate,def_light_box_rate,def_man_rate,def_zone_rate,def_vs_wr_out,def_vs_te,def_vs_rb_pass,def_vs_wr_slot,cb1_grade,cb2_grade,slot_cb_grade,shadow_cb,defensive_coordinator
ARI,2025,17,0.088871144,0.17434014,0.00010290216,6.5711892797319935,4.828947368421052,230.76470588235293,129.52941176470588,61.94117647058823,,0.21256038647342995,1.1176470588235294,1.8235294117647058,,,,,0.03632958233356476,0.2638547718524933,0.1124829351902008,0.03632958233356476,65.0,65.0,65.0,False,UNKNOWN
ATL,2025,17,-0.008504988,-0.032552276,0.012784763,5.784745762711864,4.715536105032823,200.76470588235293,126.76470588235294,61.588235294117645,,0.16091954022988506,0.7058823529411765,1.588235294117647,,,,,-0.009674564003944397,-0.02540510892868042,0.03504771366715431,-0.009674564003944397,65.0,65.0,65.0,False,UNKNOWN
BAL,2025,17,0.022750486,0.08864658,-0.06552728,6.407294832826747,4.37708830548926,248.0,107.88235294117646,63.35294117647059,,0.16666666666666666,1.0588235294117647,1.3529411764705883,,,,,0.0740833431482315,-0.11671426892280579,0.1385273039340973,0.0740833431482315,65.0,65.0,65.0,False,UNKNOWN
BUF,2025,17,-0.02122585,-0.107136354,0.06358228,5.291089108910891,5.213483146067416,157.1764705882353,136.47058823529412,55.88235294117647,,0.18064516129032257,1.411764705882353,1.1176470588235294,,,,,-0.06835536658763885,-0.07127800583839417,-0.18496644496917725,-0.06835536658763885,65.0,65.0,65.0,False,UNKNOWN
CAR,2025,17,0.07827619,0.14558984,-0.0013733892,6.480373831775701,4.568034557235421,203.94117647058823,124.41176470588235,58.705882352941174,,0.19631901840490798,1.1764705882352942,1.1764705882352942,,,,,-0.003221958875656128,0.3503953516483307,-0.014202818274497986,-0.003221958875656128,65.0,65.0,65.0,False,UNKNOWN
CHI,2025,17,0.007264118,0.029047964,-0.019323943,6.787719298245614,5.070796460176991,227.58823529411765,134.8235294117647,60.11764705882353,,0.19631901840490798,0.8823529411764706,1.8823529411764706,,,,,0.04170440137386322,-0.10451847314834595,0.018181361258029938,0.04170440137386322,65.0,65.0,65.0,False,UNKNOWN
CIN,2025,17,0.12220564,0.16471994,0.08027263,6.968476357267951,5.424568965517241,234.05882352941177,148.05882352941177,60.88235294117647,,0.2127659574468085,1.0588235294117647,1.9411764705882353,,,,,0.00921262800693512,0.19578289985656738,0.33743448555469513,0.00921262800693512,65.0,65.0,65.0,False,UNKNOWN
CLE,2025,17,-0.09187529,-0.13899493,-0.069424674,5.264814814814815,4.400881057268722,167.23529411764707,117.52941176470588,58.470588235294116,,0.20279720279720279,0.8235294117647058,1.4705882352941178,,,,,-0.10214343667030334,-0.1364862099289894,-0.17901363968849182,-0.10214343667030334,65.0,65.0,65.0,False,UNKNOWN
DAL,2025,17,0.16977598,0.2421366,0.08890148,7.220910623946037,4.960829493087558,251.88235294117646,126.6470588235294,60.411764705882355,,0.22448979591836735,1.411764705882353,2.0588235294117645,,,,,0.30743609368801117,0.1171489953994751,0.0811765268445015,0.30743609368801117,65.0,65.0,65.0,False,UNKNOWN
DEN,2025,17,-0.1042095,-0.14464228,-0.04491194,4.835866261398176,3.906801007556675,187.1764705882353,91.23529411764706,62.05882352941177,,0.14189189189189189,0.6470588235294118,1.0588235294117647,,,,,-0.10414472222328186,-0.028686851263046265,-0.20910625159740448,-0.10414472222328186,65.0,65.0,65.0,False,UNKNOWN
